region_key,region_name,research_status,contribution_status,contribution_year,reference_monthly,contribution_min,contribution_max,calc_base_status,calc_base_year,calc_base_value,calc_base_unit,contribution_source_level,calc_base_source_level,reference_source_url,formula_source_url,contribution_source_url,calc_base_source_url,fallback_eligible,contribution_runtime_eligible,calc_base_runtime_eligible,note
beijing,北京,current_verified,current,2026,,7270,36348,recent_fallback,2025,12049,yuan/month,official_primary,official_primary,,,https://rsj.beijing.gov.cn/xxgk/2024zcwj/202608/t20260821_4831461.html,https://rsj.beijing.gov.cn/xxgk/2024zcwj/202511/t20251107_4265291.html,true,true,true,缴费参数当前可用；计发基数以2025最近官方值保底并必须标年份。
tianjin,天津,current_verified_with_fallback_calc,current,2026,,5180,25902,recent_fallback,2025,9417,yuan/month,official_primary,official_government,,,https://www.tj.gov.cn/sy/tjxw/202608/t20260823_7356881.html,https://www.tj.gov.cn/sy/tjxw/202511/t20251118_7179836.html,true,true,true,2026缴费参数当前可用；天津政务网确认2025基本养老金计发基数9417，可作为最近官方值保底。
hebei,河北,fallback_verified_reprint,recent_fallback,2025,6678,4007,20034,recent_fallback,2025,7410,yuan/month,official_local_hrss_reprint,official_local_hrss_reprint,,,https://rsj.chengde.gov.cn/art/2025/10/22/art_2829_1087786.html,https://rsj.chengde.gov.cn/art/2025/10/22/art_2829_1087786.html,true,true,true,承德市人社局完整转载冀人社字〔2025〕105号及原PDF，4007—20034和计发基数7410可作为2025官方保底。
shanxi,山西,current_verified_calc_candidate_manual,current,2026,7073,4244,21219,missing,,,,official_primary,missing,,,https://shanxi.chinatax.gov.cn/son/detail/sf-11407-522-1824057,,true,true,false,2026缴费参数4244—21219已有官方联合通知。2025基本养老金计发基数7253、文号晋人社厅发〔2025〕36号已被政策库完整转载并有文件图；用户又在山西人社厅官网按7253、计发基数、文号等站内检索，仍未找到公开原文。7253仅作为研究线索，生产默认保持手填。候选来源：https://zc.51shebao.com/detail/839909
neimenggu,内蒙古,current_verified_with_provisional_calc,current,2026,8430,5058,25290,current_provisional,2026,8179,yuan/month,official_primary,official_local_hrss_provisional,,,https://neimenggu.chinatax.gov.cn/xxgk/tzgg/202608/t20260831_897017.html,https://rsj.baotou.gov.cn/ywdt/gzdt/202606/t20260622_928873.html,true,true,true,2026缴费参数当前可用；包头市人社局社保中心公开测算明确按内蒙古2026年预发养老金计发基数8179元/月计算。可作当前规划默认，但前台必须标“预发参考值，正式基数公布后可能调整”。
liaoning,辽宁,fallback_verified_subregional,recent_fallback,2025,,4359,21792,recent_fallback,2025,,,official_primary,official_primary,,,https://rst.ln.gov.cn/rst/zxzx/gsgg/2025092012232024861/index.shtml,https://rst.ln.gov.cn/rst/zxzx/gsgg/2025092012232024861/index.shtml,true,true,true,计发基数分全省（不含沈阳大连）、沈阳、大连，见subregions；运行时必须先选择对应子地区。
jilin,吉林,fallback_verified_subregional,recent_fallback,2025,,4393.2,21966,recent_fallback,2025,,yuan/year,official_primary,official_primary,,,https://xxgk.jl.gov.cn/zcbm/fgw_97992/xxgkmlqy/202509/t20250922_9324837.html,https://xxgk.jl.gov.cn/zcbm/fgw_97992/xxgkmlqy/202509/t20250922_9324837.html,true,true,true,缴费适用期2025-07-01至2026-06-30，作为最近官方值；计发基数分全省、长春、农垦，见subregions。
heilongjiang,黑龙江,current_verified_formula,current_derived,2026,7705,4623,23115,current,2026,7705,yuan/month,official_primary_formula_derived,official_primary,https://hrss.hlj.gov.cn/hrss/c116755/202603/31920862/files/2026%E5%B9%B4%E5%BA%A6%E5%85%A8%E7%9C%81%E5%9F%BA%E6%9C%AC%E5%85%BB%E8%80%81%E4%BF%9D%E9%99%A9%E4%BD%BF%E7%94%A8%E5%B7%A5%E8%B5%84%E5%9F%BA%E6%95%B0.pdf,https://www.hlj.gov.cn/hlj/c107954/202003/c00_30645472.shtml,,https://hrss.hlj.gov.cn/hrss/c116755/202603/31920862/files/2026%E5%B9%B4%E5%BA%A6%E5%85%A8%E7%9C%81%E5%9F%BA%E6%9C%AC%E5%85%BB%E8%80%81%E4%BF%9D%E9%99%A9%E4%BD%BF%E7%94%A8%E5%B7%A5%E8%B5%84%E5%9F%BA%E6%95%B0.pdf,true,true,true,2026官方月平均工资7705同时用于缴费和计发基本养老金；上下限按省政府明确60%—300%公式得4623—23115，UI必须标注公式计算值。
shanghai,上海,current_with_calc_formula_anchor,current,2026,,7546,37731,recent_fallback_formula_anchor,2025,12434,yuan/month,official_primary,official_primary_formula_anchor,https://rsj.sh.gov.cn/tgsgg_17341/20250918/t0035_1435637.html,https://rsj.sh.gov.cn/tyljjfbf_17557/20250527/t0035_1432738.html,https://rsj.sh.gov.cn/tdjjf_17554/20260824/t0035_1443297.html,https://rsj.sh.gov.cn/tgsgg_17341/20250918/t0035_1435637.html,true,true,true,2026缴费上下限当前可用；上海官方养老金公式直接使用申领时上年度全市城镇单位就业人员月平均工资，2024年度官方值12434元/月，因此作为2025待遇计算公式锚点保底；前台显示年份和“官方公式参考值”。
jiangsu,江苏,fallback_verified_with_calc,recent_fallback,2025,,4952,24762,recent_fallback,2025,8917,yuan/month,official_primary,official_local_government_reprint,,https://www.jiangsu.gov.cn/art/2025/2/26/art_64797_11500401.html,https://jshrss.jiangsu.gov.cn/art/2025/9/18/art_77277_11643402.html,https://www.jinhu.gov.cn/col/1387_142711/o/index.html,true,true,true,2025缴费上下限4952—24762可保底；江苏省实施办法明确基础养老金计发基数由省人社财政公布，金湖县政府按省市文件明确2025基础养老金计发基数8917元/月，可作为省级最近官方值保底。
zhejiang,浙江,fallback_verified_with_formula_calc,recent_fallback,2025,,4986,25299,recent_fallback_derived,2025,8433,yuan/month,official_primary,official_primary_formula_derived,https://rlsbt.zj.gov.cn/art/2025/9/18/art_1229506773_2569490.html,https://rlsbt.zj.gov.cn/art/2025/9/18/art_1229506773_2569490.html,https://zhejiang.chinatax.gov.cn/art/2025/12/11/art_13314_645797.html,https://rlsbt.zj.gov.cn/art/2025/9/18/art_1229506773_2569490.html,true,true,true,浙人社发〔2025〕52号公布2024加权平均工资101194元/年并明确用于计算2025社会保险相关待遇；8433元/月为年度值按12个月折算的规划锚点，属于官方公式折算值，不冒充单独公告的计发基数。
anhui,安徽,fallback_verified_with_calc,recent_fallback,2025,,4311,21556,recent_fallback,2025,7999,yuan/month,official_local_reprint,official_primary_canonical,,,https://www.ahjd.gov.cn/Jczwgk/show/3644676.html,https://hrss.ah.gov.cn/public/6595721/80776356.html,true,true,true,2025缴费上下限用地方政府官方转载保底；皖人社秘〔2025〕153号明确2025企业职工基本养老金计发基数7999，已固定安徽人社官方规范性文件URL。
fujian,福建,fallback_verified,recent_fallback,2025,,4043,22607,recent_fallback,2025,7932,yuan/month,official_primary,official_primary,,,https://rst.fujian.gov.cn/zw/zfxxgk/zfxxgkml/zyywgz/ldgx/202509/t20250922_7013397.htm,https://rst.fujian.gov.cn/zw/zfxxgk/zfxxgkml/zyywgz/ldgx/202509/t20250922_7013397.htm,true,true,true,2025缴费上下限和计发基数均有官方原文。
jiangxi,江西,fallback_verified_with_calc,recent_fallback,2025,,3915,19575,recent_fallback,2025,7054,yuan/month,official_local,official_local_government_reprint,,,https://xjq.nc.gov.cn/xjqrmzf/shbx/202604/8ac7215a9886424ebcc603304c99e7a8.shtml,https://www.jxln.gov.cn/lnxxxgk/zcwjscbhg/202512/8aa82bef0c2c4fcca30840e9549bc177.shtml,true,true,true,2025缴费基数继续用地方政府官方页面保底；龙南市政府公开江西省人社厅、财政厅通知，明确2025年度城镇职工基本养老保险基本养老金计发基数7054元/月。
shandong,山东,fallback_verified_subregional_calc,recent_fallback,2025,,4504,22518,recent_fallback,2025,,yuan/month,official_local_reprint,official_primary_subregional,,,https://www.jinan.gov.cn/col/col118356/art/2026/art_68ec8fccb74b466f915ae5db4cf93951.html,http://hrss.shandong.gov.cn/articles/ch00378/202510/1e743c80-1abf-47a8-b62a-db2518c0820b.shtml,true,true,true,2025缴费上下限可保底。鲁人社字〔2025〕100号明确除菏泽外基本养老保险待遇计发基数7831；已写入subregions。运行时必须区分“菏泽/非菏泽”：非菏泽自动带入7831，菏泽因官方数值未找到而保持手填，禁止把7831或7506套给菏泽。
henan,河南,fallback_verified_reprint,recent_fallback,2025,6385,3831,19155,missing,,,,official_local_reprint,missing,,,https://public.zzgx.gov.cn/D280901X/9691790.jhtml,,true,true,false,2025-07-01起缴费基数3831—19155可保底；河南省级统筹和省社保中心官方材料确认每年存在全省统一基本养老金计发基数，未公布前按上年值预算，但本轮未找到2024/2025具体数值的官方公开页面。计发参考值上线保持手填，不采用网络预测数。
hubei,湖北,fallback_verified_subregional,recent_fallback,2025,,,,missing,,,,official_primary,missing,,,https://rst.hubei.gov.cn/zfxxgk/zc/qtzdgkwj/202509/t20250919_5775307.shtml,,true,true,false,官方缴费基数分三档，见subregions。湖北官方材料显示养老金计发基数长期存在地区差异且正在推进归并统一；2024武汉行政复议材料出现8880，但2025武汉政府新闻又出现与既有核定数据明显冲突的7510口径，且省厅未公开完整计发基数表。为避免错配，养老金计算参考值保持手填。
hunan,湖南,current_verified,current,2026,6843,4106,20529,recent_fallback,2025,7694,yuan/month,official_primary,official_primary,,,https://rst.hunan.gov.cn/rst/xxgk/zcfg/zxzc/202608/t20260822_34049202.html,https://rst.hunan.gov.cn/rst/xxgk/zcfg/zxzc/202509/t20250922_33809937.html,true,true,true,缴费2026当前；计发基数用2025最近官方值保底。
